date,SET,StTimes,KLSE
10/27/2006,0.108909196,1.608110852,1.087822864
11/3/2006,0.895710584,-0.281349857,0.816938827
11/10/2006,1.102732669,0.84132166,2.403695357
11/17/2006,-0.881756191,2.442151489,1.79250494
11/24/2006,-1.37882126,0.057924767,1.869444607
12/1/2006,2.390149611,0.751394919,1.838840156
12/8/2006,-0.0593664,1.020850165,1.696465159
12/15/2006,-0.62955875,2.282538458,-0.847389104
12/22/2006,-7.907548622,0.37795771,-0.885190009
12/29/2006,-0.069110027,1.465558887,1.518439439
1/5/2007,-7.901480789,1.436797249,2.179962175
1/12/2007,2.75078181,-0.660803017,-0.095547238
1/19/2007,1.911277004,2.097752513,2.508192479
1/26/2007,-0.07903817,0.482419913,1.909751049
2/2/2007,1.949995912,4.122117125,3.328078788
2/9/2007,3.61274253,0.09971159,2.562223133
2/16/2007,-1.049688662,0.496763087,1.695633044
2/23/2007,0.398906801,2.245576132,1.679827052
3/2/2007,-1.714185851,-7.256068869,-9.712097629
3/9/2007,-1.162812412,2.088320875,2.052325902
3/16/2007,-0.017880824,-2.413331857,-0.559252079
3/23/2007,0.999385561,4.369759532,4.422003801
3/30/2007,-0.603775419,0.789805661,0.903926365
4/6/2007,2.746516456,3.485779619,2.537956071
4/13/2007,-0.001444116,0.825369857,2.263617477
4/20/2007,-0.714500971,-0.383710039,0.546584833
4/27/2007,1.096464147,1.122322326,0.712086459
5/4/2007,3.022439693,2.532251579,2.874272048
5/11/2007,-1.340529018,-1.120501923,-0.880348983
5/18/2007,3.045524652,1.881848583,0.398037663
5/25/2007,-1.328840605,-0.736391084,-1.317565575
6/1/2007,4.724347185,1.753859838,1.555335801
6/8/2007,-0.256320155,-1.611703218,-0.566277145
6/15/2007,-1.035932405,2.532955042,0.608912918
6/22/2007,3.667231487,0.951019738,2.24700794
6/29/2007,0.61207288,-1.875653501,-2.70888211
7/6/2007,6.911902375,0.387052251,1.426595365
7/13/2007,3.164282159,2.56784292,0.788821444
7/20/2007,-1.006044703,-0.088420603,-0.170576967
7/27/2007,1.521509761,-4.443010225,-1.971032564
8/3/2007,-3.039068664,-1.635543058,-1.48360087
8/10/2007,-4.005235296,-2.262274893,-3.638816782
8/17/2007,-5.9406178,-7.043708068,-7.760270071
8/24/2007,4.17066009,7.348971041,6.652973948
8/31/2007,2.804545598,0.693843395,1.183371861
9/7/2007,-1.45543144,2.791860346,1.250797081
9/14/2007,1.300369753,1.350269683,-1.187186315
9/21/2007,2.380456311,0.164438868,1.266854165
9/28/2007,1.668484332,4.526153823,2.298151281
10/5/2007,0.804560744,4.31282023,2.651069047
10/12/2007,3.989375419,-0.318889542,0.22202415
10/19/2007,-1.269552179,-2.873746616,-0.370071304
10/26/2007,2.117114772,0.626902937,2.03581504
11/2/2007,-0.025713982,-1.502124581,-0.062235546
11/9/2007,-2.227364295,-3.162263715,0.340747473
11/16/2007,-2.967074027,-4.509167237,-1.119453476
11/23/2007,-2.96677509,-3.401319476,-2.4152784
11/30/2007,2.656543701,5.708441253,3.158199313
12/7/2007,-0.598403283,1.036281631,2.618287201
12/14/2007,-0.594831858,-2.607371455,-2.159064643
12/21/2007,-2.763812282,-1.989436986,0.010687681
12/28/2007,5.325179808,1.394545037,3.050822449
1/4/2008,-4.333310806,-0.23330792,1.347443431
1/11/2008,-3.11980709,-4.475009595,3.322587044
1/18/2008,-0.857432719,-5.73065868,-5.193151124
1/25/2008,-3.866519233,1.763531678,-2.396692441
2/1/2008,6.514546848,-4.919854258,-1.528630078
2/8/2008,-0.546591357,-2.553436247,2.27579625
